Date	Time	35
24/05/2021	03:15:00	15.951
24/05/2021	03:30:00	15.951
24/05/2021	03:45:00	15.855
24/05/2021	04:00:00	15.951
24/05/2021	04:15:00	15.855
24/05/2021	04:30:00	15.855
24/05/2021	04:45:00	15.855
24/05/2021	05:00:00	15.855
24/05/2021	05:15:00	15.76
24/05/2021	05:30:00	15.76
24/05/2021	05:45:00	15.855
24/05/2021	06:00:00	15.855
24/05/2021	06:15:00	15.951
24/05/2021	06:30:00	15.855
24/05/2021	06:45:00	15.855
24/05/2021	07:00:00	15.951
24/05/2021	07:15:00	15.951
24/05/2021	07:30:00	16.046
24/05/2021	07:45:00	15.951
24/05/2021	08:00:00	15.951
24/05/2021	08:15:00	15.951
24/05/2021	08:30:00	16.046
24/05/2021	08:45:00	16.046
24/05/2021	09:00:00	15.951
24/05/2021	09:15:00	15.951
24/05/2021	09:30:00	15.855
24/05/2021	09:45:00	15.855
24/05/2021	10:00:00	15.855
24/05/2021	10:15:00	15.951
24/05/2021	10:30:00	15.951
24/05/2021	10:45:00	15.951
24/05/2021	11:00:00	16.046
24/05/2021	11:15:00	15.855
24/05/2021	11:30:00	15.664
24/05/2021	11:45:00	15.664
24/05/2021	12:00:00	15.76
24/05/2021	12:15:00	16.141
24/05/2021	12:30:00	15.76
24/05/2021	12:45:00	15.855
24/05/2021	13:00:00	16.046
24/05/2021	13:15:00	16.046
24/05/2021	13:30:00	15.951
24/05/2021	13:45:00	16.046
24/05/2021	14:00:00	16.237
24/05/2021	14:15:00	16.141
24/05/2021	14:30:00	16.141
24/05/2021	14:45:00	16.046
24/05/2021	15:00:00	15.951
24/05/2021	15:15:00	16.141
24/05/2021	15:30:00	16.237
24/05/2021	15:45:00	16.141
24/05/2021	16:00:00	16.046
24/05/2021	16:15:00	15.855
24/05/2021	16:30:00	15.855
24/05/2021	16:45:00	15.951
24/05/2021	17:00:00	15.855
24/05/2021	17:15:00	15.855
24/05/2021	17:30:00	15.855
24/05/2021	17:45:00	15.76
24/05/2021	18:00:00	15.855
24/05/2021	18:15:00	15.76
24/05/2021	18:30:00	15.76
24/05/2021	18:45:00	15.76
24/05/2021	19:00:00	15.855
24/05/2021	19:15:00	16.046
24/05/2021	19:30:00	15.951
24/05/2021	19:45:00	16.046
24/05/2021	20:00:00	16.046
24/05/2021	20:15:00	16.046
24/05/2021	20:30:00	15.951
24/05/2021	20:45:00	16.046
24/05/2021	21:00:00	15.855
24/05/2021	21:15:00	15.855
24/05/2021	21:30:00	15.855
24/05/2021	21:45:00	16.046
24/05/2021	22:00:00	16.046
24/05/2021	22:15:00	15.951
24/05/2021	22:30:00	15.951
24/05/2021	22:45:00	16.046
24/05/2021	23:00:00	16.046
24/05/2021	23:15:00	15.664
24/05/2021	23:30:00	15.664
24/05/2021	23:45:00	15.664
25/05/2021	00:00:00	15.76
25/05/2021	00:15:00	15.855
25/05/2021	00:30:00	16.523
25/05/2021	00:45:00	17.094
25/05/2021	01:00:00	15.855
25/05/2021	01:15:00	15.664
25/05/2021	01:30:00	16.141
25/05/2021	01:45:00	15.664
25/05/2021	02:00:00	15.664
25/05/2021	02:15:00	15.664
25/05/2021	02:30:00	15.664
25/05/2021	02:45:00	15.664
25/05/2021	03:00:00	15.569
25/05/2021	03:15:00	15.569
25/05/2021	03:30:00	15.569
25/05/2021	03:45:00	16.046
25/05/2021	04:00:00	15.569
25/05/2021	04:15:00	15.855
25/05/2021	04:30:00	16.903
25/05/2021	04:45:00	16.808
25/05/2021	05:00:00	16.903
25/05/2021	05:15:00	16.903
25/05/2021	05:30:00	16.903
25/05/2021	05:45:00	16.903
25/05/2021	06:00:00	16.903
25/05/2021	06:15:00	16.903
25/05/2021	06:30:00	16.903
25/05/2021	06:45:00	16.903
25/05/2021	07:00:00	16.903
25/05/2021	07:15:00	16.903
25/05/2021	07:30:00	16.903
25/05/2021	07:45:00	16.903
25/05/2021	08:00:00	16.903
25/05/2021	08:15:00	16.903
25/05/2021	08:30:00	16.903
25/05/2021	08:45:00	16.903
25/05/2021	09:00:00	16.903
25/05/2021	09:15:00	16.903
25/05/2021	09:30:00	16.903
25/05/2021	09:45:00	16.903
25/05/2021	10:00:00	16.903
25/05/2021	10:15:00	16.999
25/05/2021	10:30:00	16.999
25/05/2021	10:45:00	16.999
25/05/2021	11:00:00	16.999
25/05/2021	11:15:00	16.999
25/05/2021	11:30:00	16.999
25/05/2021	11:45:00	16.999
25/05/2021	12:00:00	16.999
25/05/2021	12:15:00	17.094
25/05/2021	12:30:00	17.094
25/05/2021	12:45:00	17.094
25/05/2021	13:00:00	17.094
25/05/2021	13:15:00	17.094
25/05/2021	13:30:00	17.189
25/05/2021	13:45:00	17.189
25/05/2021	14:00:00	17.189
25/05/2021	14:15:00	17.189
25/05/2021	14:30:00	17.189
25/05/2021	14:45:00	17.189
25/05/2021	15:00:00	17.189
25/05/2021	15:15:00	17.189
25/05/2021	15:30:00	17.189
25/05/2021	15:45:00	17.094
25/05/2021	16:00:00	17.094
25/05/2021	16:15:00	17.094
25/05/2021	16:30:00	17.094
25/05/2021	16:45:00	17.094
25/05/2021	17:00:00	17.094
25/05/2021	17:15:00	17.094
25/05/2021	17:30:00	17.094
25/05/2021	17:45:00	17.094
25/05/2021	18:00:00	17.094
25/05/2021	18:15:00	17.094
25/05/2021	18:30:00	17.094
25/05/2021	18:45:00	17.094
25/05/2021	19:00:00	17.094
25/05/2021	19:15:00	17.094
25/05/2021	19:30:00	16.999
25/05/2021	19:45:00	17.094
25/05/2021	20:00:00	16.999
25/05/2021	20:15:00	16.999
25/05/2021	20:30:00	16.999
25/05/2021	20:45:00	16.999
25/05/2021	21:00:00	16.999
25/05/2021	21:15:00	16.999
25/05/2021	21:30:00	16.999
25/05/2021	21:45:00	16.999
25/05/2021	22:00:00	16.999
25/05/2021	22:15:00	16.999
25/05/2021	22:30:00	16.999
25/05/2021	22:45:00	16.999
25/05/2021	23:00:00	16.999
25/05/2021	23:15:00	16.999
25/05/2021	23:30:00	16.999
25/05/2021	23:45:00	16.999
26/05/2021	00:00:00	16.999
26/05/2021	00:15:00	16.999
26/05/2021	00:30:00	16.999
26/05/2021	00:45:00	16.999
26/05/2021	01:00:00	16.999
26/05/2021	01:15:00	16.999
26/05/2021	01:30:00	16.999
26/05/2021	01:45:00	16.999
26/05/2021	02:00:00	16.999
26/05/2021	02:15:00	16.903
26/05/2021	02:30:00	16.903
26/05/2021	02:45:00	16.903
26/05/2021	03:00:00	16.903
26/05/2021	03:15:00	16.903
26/05/2021	03:30:00	16.903
26/05/2021	03:45:00	16.903
26/05/2021	04:00:00	16.903
26/05/2021	04:15:00	16.903
26/05/2021	04:30:00	16.903
26/05/2021	04:45:00	16.903
26/05/2021	05:00:00	16.903
26/05/2021	05:15:00	16.808
26/05/2021	05:30:00	16.903
26/05/2021	05:45:00	16.808
26/05/2021	06:00:00	16.808
26/05/2021	06:15:00	16.808
26/05/2021	06:30:00	16.808
26/05/2021	06:45:00	16.808
26/05/2021	07:00:00	16.808
26/05/2021	07:15:00	16.808
26/05/2021	07:30:00	16.808
26/05/2021	07:45:00	16.808
26/05/2021	08:00:00	16.808
26/05/2021	08:15:00	16.808
26/05/2021	08:30:00	16.808
26/05/2021	08:45:00	16.808
26/05/2021	09:00:00	16.808
26/05/2021	09:15:00	16.808
26/05/2021	09:30:00	16.808
26/05/2021	09:45:00	16.808
26/05/2021	10:00:00	16.808
26/05/2021	10:15:00	16.808
26/05/2021	10:30:00	16.808
26/05/2021	10:45:00	16.808
26/05/2021	11:00:00	16.808
26/05/2021	11:15:00	16.808
26/05/2021	11:30:00	16.808
26/05/2021	11:45:00	16.903
26/05/2021	12:00:00	16.903
26/05/2021	12:15:00	16.808
26/05/2021	12:30:00	16.903
26/05/2021	12:45:00	16.903
26/05/2021	13:00:00	16.999
26/05/2021	13:15:00	16.999
26/05/2021	13:30:00	16.999
26/05/2021	13:45:00	16.999
26/05/2021	14:00:00	16.903
26/05/2021	14:15:00	16.999
26/05/2021	14:30:00	16.999
26/05/2021	14:45:00	16.999
26/05/2021	15:00:00	17.094
26/05/2021	15:15:00	17.189
26/05/2021	15:30:00	17.094
26/05/2021	15:45:00	16.999
26/05/2021	16:00:00	17.094
26/05/2021	16:15:00	16.999
26/05/2021	16:30:00	16.999
26/05/2021	16:45:00	16.999
26/05/2021	17:00:00	16.999
26/05/2021	17:15:00	16.999
26/05/2021	17:30:00	17.094
26/05/2021	17:45:00	17.094
26/05/2021	18:00:00	16.999
26/05/2021	18:15:00	16.999
26/05/2021	18:30:00	16.903
26/05/2021	18:45:00	16.903
26/05/2021	19:00:00	16.903
26/05/2021	19:15:00	16.903
26/05/2021	19:30:00	16.903
26/05/2021	19:45:00	16.903
26/05/2021	20:00:00	16.999
26/05/2021	20:15:00	16.999
26/05/2021	20:30:00	16.999
26/05/2021	20:45:00	16.903
26/05/2021	21:00:00	16.903
26/05/2021	21:15:00	16.903
26/05/2021	21:30:00	16.999
26/05/2021	21:45:00	16.903
26/05/2021	22:00:00	16.999
26/05/2021	22:15:00	16.999
26/05/2021	22:30:00	16.999
26/05/2021	22:45:00	16.999
26/05/2021	23:00:00	16.999
26/05/2021	23:15:00	16.999
26/05/2021	23:30:00	16.999
26/05/2021	23:45:00	16.999
27/05/2021	00:00:00	16.999
27/05/2021	00:15:00	16.999
27/05/2021	00:30:00	16.999
27/05/2021	00:45:00	16.999
27/05/2021	01:00:00	16.999
27/05/2021	01:15:00	16.999
27/05/2021	01:30:00	16.999
27/05/2021	01:45:00	16.999
27/05/2021	02:00:00	16.999
27/05/2021	02:15:00	16.999
27/05/2021	02:30:00	16.999
27/05/2021	02:45:00	16.999
27/05/2021	03:00:00	16.999
27/05/2021	03:15:00	16.999
27/05/2021	03:30:00	16.999
27/05/2021	03:45:00	16.999
27/05/2021	04:00:00	16.999
27/05/2021	04:15:00	16.999
27/05/2021	04:30:00	16.999
27/05/2021	04:45:00	16.999
27/05/2021	05:00:00	16.999
27/05/2021	05:15:00	16.903
27/05/2021	05:30:00	16.903
27/05/2021	05:45:00	16.999
27/05/2021	06:00:00	16.999
27/05/2021	06:15:00	16.999
27/05/2021	06:30:00	16.903
27/05/2021	06:45:00	16.903
27/05/2021	07:00:00	16.523
27/05/2021	07:15:00	16.618
27/05/2021	07:30:00	16.523
27/05/2021	07:45:00	16.427
27/05/2021	08:00:00	16.523
27/05/2021	08:15:00	16.523
27/05/2021	08:30:00	16.523
27/05/2021	08:45:00	16.523
27/05/2021	09:00:00	16.618
27/05/2021	09:15:00	16.618
27/05/2021	09:30:00	16.618
27/05/2021	09:45:00	16.618
27/05/2021	10:00:00	16.618
27/05/2021	10:15:00	16.618
27/05/2021	10:30:00	16.618
27/05/2021	10:45:00	16.618
27/05/2021	11:00:00	16.713
27/05/2021	11:15:00	16.713
27/05/2021	11:30:00	16.713
27/05/2021	11:45:00	16.713
27/05/2021	12:00:00	16.713
27/05/2021	12:15:00	16.713
27/05/2021	12:30:00	16.808
27/05/2021	12:45:00	16.808
27/05/2021	13:00:00	16.808
27/05/2021	13:15:00	16.808
27/05/2021	13:30:00	16.808
27/05/2021	13:45:00	16.808
27/05/2021	14:00:00	16.808
27/05/2021	14:15:00	16.808
27/05/2021	14:30:00	16.808
27/05/2021	14:45:00	16.808
27/05/2021	15:00:00	16.808
27/05/2021	15:15:00	16.808
27/05/2021	15:30:00	16.808
27/05/2021	15:45:00	16.808
27/05/2021	16:00:00	16.808
27/05/2021	16:15:00	16.808
27/05/2021	16:30:00	16.808
27/05/2021	16:45:00	16.808
27/05/2021	17:00:00	16.808
27/05/2021	17:15:00	16.808
27/05/2021	17:30:00	16.808
27/05/2021	17:45:00	16.808
27/05/2021	18:00:00	16.808
27/05/2021	18:15:00	16.808
27/05/2021	18:30:00	16.903
27/05/2021	18:45:00	16.903
27/05/2021	19:00:00	16.999
27/05/2021	19:15:00	16.999
27/05/2021	19:30:00	17.094
27/05/2021	19:45:00	17.094
27/05/2021	20:00:00	17.094
27/05/2021	20:15:00	17.189
27/05/2021	20:30:00	17.094
27/05/2021	20:45:00	16.999
27/05/2021	21:00:00	16.903
27/05/2021	21:15:00	16.903
27/05/2021	21:30:00	16.903
27/05/2021	21:45:00	16.903
27/05/2021	22:00:00	16.903
27/05/2021	22:15:00	16.903
27/05/2021	22:30:00	16.903
27/05/2021	22:45:00	16.903
27/05/2021	23:00:00	16.903
27/05/2021	23:15:00	16.903
27/05/2021	23:30:00	16.808
27/05/2021	23:45:00	16.808
28/05/2021	00:00:00	16.903
28/05/2021	00:15:00	16.903
28/05/2021	00:30:00	16.903
28/05/2021	00:45:00	16.903
28/05/2021	01:00:00	16.808
28/05/2021	01:15:00	16.808
28/05/2021	01:30:00	16.903
28/05/2021	01:45:00	16.808
28/05/2021	02:00:00	16.903
28/05/2021	02:15:00	16.903
28/05/2021	02:30:00	16.808
28/05/2021	02:45:00	16.903
28/05/2021	03:00:00	16.903
28/05/2021	03:15:00	16.903
28/05/2021	03:30:00	16.903
28/05/2021	03:45:00	16.903
28/05/2021	04:00:00	16.903
28/05/2021	04:15:00	16.903
28/05/2021	04:30:00	16.903
28/05/2021	04:45:00	16.903
28/05/2021	05:00:00	16.903
28/05/2021	05:15:00	16.903
28/05/2021	05:30:00	16.903
28/05/2021	05:45:00	16.903
28/05/2021	06:00:00	16.903
28/05/2021	06:15:00	16.903
28/05/2021	06:30:00	16.903
28/05/2021	06:45:00	16.903
28/05/2021	07:00:00	16.903
28/05/2021	07:15:00	16.903
28/05/2021	07:30:00	16.903
28/05/2021	07:45:00	16.713
28/05/2021	08:00:00	16.618
28/05/2021	08:15:00	16.618
28/05/2021	08:30:00	16.713
28/05/2021	08:45:00	16.713
28/05/2021	09:00:00	16.808
28/05/2021	09:15:00	16.713
28/05/2021	09:30:00	16.713
28/05/2021	09:45:00	16.713
28/05/2021	10:00:00	16.713
28/05/2021	10:15:00	16.713
28/05/2021	10:30:00	16.713
28/05/2021	10:45:00	16.713
28/05/2021	11:00:00	16.713
28/05/2021	11:15:00	16.713
28/05/2021	11:30:00	16.713
28/05/2021	11:45:00	16.713
28/05/2021	12:00:00	16.808
28/05/2021	12:15:00	16.808
28/05/2021	12:30:00	16.808
28/05/2021	12:45:00	16.808
28/05/2021	13:00:00	16.808
28/05/2021	13:15:00	16.808
28/05/2021	13:30:00	16.808
28/05/2021	13:45:00	16.808
28/05/2021	14:00:00	16.808
28/05/2021	14:15:00	16.808
28/05/2021	14:30:00	16.808
28/05/2021	14:45:00	16.808
28/05/2021	15:00:00	16.808
28/05/2021	15:15:00	16.808
28/05/2021	15:30:00	16.808
28/05/2021	15:45:00	16.808
28/05/2021	16:00:00	16.808
28/05/2021	16:15:00	16.808
28/05/2021	16:30:00	16.808
28/05/2021	16:45:00	16.808
28/05/2021	17:00:00	16.808
28/05/2021	17:15:00	16.808
28/05/2021	17:30:00	16.808
28/05/2021	17:45:00	16.808
28/05/2021	18:00:00	16.808
28/05/2021	18:15:00	16.808
28/05/2021	18:30:00	16.808
28/05/2021	18:45:00	16.808
28/05/2021	19:00:00	16.808
28/05/2021	19:15:00	16.808
28/05/2021	19:30:00	16.808
28/05/2021	19:45:00	16.808
28/05/2021	20:00:00	16.808
28/05/2021	20:15:00	16.808
28/05/2021	20:30:00	16.808
28/05/2021	20:45:00	16.903
28/05/2021	21:00:00	16.808
28/05/2021	21:15:00	16.903
28/05/2021	21:30:00	16.903
28/05/2021	21:45:00	16.903
28/05/2021	22:00:00	16.903
28/05/2021	22:15:00	16.903
28/05/2021	22:30:00	16.903
28/05/2021	22:45:00	16.903
28/05/2021	23:00:00	16.903
28/05/2021	23:15:00	16.903
28/05/2021	23:30:00	16.808
28/05/2021	23:45:00	16.903
29/05/2021	00:00:00	16.903
29/05/2021	00:15:00	16.808
29/05/2021	00:30:00	16.808
29/05/2021	00:45:00	16.808
29/05/2021	01:00:00	16.808
29/05/2021	01:15:00	16.808
29/05/2021	01:30:00	16.903
29/05/2021	01:45:00	16.903
29/05/2021	02:00:00	16.903
29/05/2021	02:15:00	16.903
29/05/2021	02:30:00	16.903
29/05/2021	02:45:00	16.903
29/05/2021	03:00:00	16.903
29/05/2021	03:15:00	16.903
29/05/2021	03:30:00	16.903
29/05/2021	03:45:00	16.903
29/05/2021	04:00:00	16.903
29/05/2021	04:15:00	16.808
29/05/2021	04:30:00	16.808
29/05/2021	04:45:00	16.808
29/05/2021	05:00:00	16.808
29/05/2021	05:15:00	16.808
29/05/2021	05:30:00	16.808
29/05/2021	05:45:00	16.808
29/05/2021	06:00:00	16.808
29/05/2021	06:15:00	16.808
29/05/2021	06:30:00	16.808
29/05/2021	06:45:00	16.618
29/05/2021	07:00:00	16.618
29/05/2021	07:15:00	16.427
29/05/2021	07:30:00	16.618
29/05/2021	07:45:00	16.332
29/05/2021	08:00:00	16.427
29/05/2021	08:15:00	16.237
29/05/2021	08:30:00	16.523
29/05/2021	08:45:00	16.141
29/05/2021	09:00:00	16.237
29/05/2021	09:15:00	16.523
29/05/2021	09:30:00	16.523
29/05/2021	09:45:00	16.046
29/05/2021	10:00:00	16.237
29/05/2021	10:15:00	16.332
29/05/2021	10:30:00	16.332
29/05/2021	10:45:00	16.523
29/05/2021	11:00:00	16.427
29/05/2021	11:15:00	16.332
29/05/2021	11:30:00	16.332
29/05/2021	11:45:00	16.141
29/05/2021	12:00:00	15.855
29/05/2021	12:15:00	15.855
29/05/2021	12:30:00	16.046
29/05/2021	12:45:00	15.951
29/05/2021	13:00:00	15.951
29/05/2021	13:15:00	16.046
29/05/2021	13:30:00	16.046
29/05/2021	13:45:00	16.046
29/05/2021	14:00:00	16.046
29/05/2021	14:15:00	16.046
29/05/2021	14:30:00	16.046
29/05/2021	14:45:00	16.046
29/05/2021	15:00:00	16.046
29/05/2021	15:15:00	16.046
29/05/2021	15:30:00	16.427
29/05/2021	15:45:00	16.141
29/05/2021	16:00:00	16.046
29/05/2021	16:15:00	16.141
29/05/2021	16:30:00	16.141
29/05/2021	16:45:00	16.141
29/05/2021	17:00:00	16.237
29/05/2021	17:15:00	16.141
29/05/2021	17:30:00	16.237
29/05/2021	17:45:00	16.141
29/05/2021	18:00:00	16.046
29/05/2021	18:15:00	16.141
29/05/2021	18:30:00	16.237
29/05/2021	18:45:00	16.046
29/05/2021	19:00:00	16.046
29/05/2021	19:15:00	15.951
29/05/2021	19:30:00	16.046
29/05/2021	19:45:00	16.332
29/05/2021	20:00:00	16.523
29/05/2021	20:15:00	16.523
29/05/2021	20:30:00	16.808
29/05/2021	20:45:00	16.999
29/05/2021	21:00:00	16.903
29/05/2021	21:15:00	16.618
29/05/2021	21:30:00	16.332
29/05/2021	21:45:00	15.951
29/05/2021	22:00:00	16.237
29/05/2021	22:15:00	16.332
29/05/2021	22:30:00	16.141
29/05/2021	22:45:00	16.046
29/05/2021	23:00:00	16.332
29/05/2021	23:15:00	16.427
29/05/2021	23:30:00	16.523
29/05/2021	23:45:00	16.237
30/05/2021	00:00:00	16.332
30/05/2021	00:15:00	16.523
30/05/2021	00:30:00	16.332
30/05/2021	00:45:00	16.427
30/05/2021	01:00:00	16.427
30/05/2021	01:15:00	16.332
30/05/2021	01:30:00	16.427
30/05/2021	01:45:00	16.618
30/05/2021	02:00:00	16.808
30/05/2021	02:15:00	16.903
30/05/2021	02:30:00	16.903
30/05/2021	02:45:00	16.808
30/05/2021	03:00:00	16.713
30/05/2021	03:15:00	16.713
30/05/2021	03:30:00	16.713
30/05/2021	03:45:00	16.713
30/05/2021	04:00:00	16.713
30/05/2021	04:15:00	16.808
30/05/2021	04:30:00	16.808
30/05/2021	04:45:00	16.903
30/05/2021	05:00:00	16.903
30/05/2021	05:15:00	16.808
30/05/2021	05:30:00	16.903
30/05/2021	05:45:00	16.903
30/05/2021	06:00:00	16.903
30/05/2021	06:15:00	16.903
30/05/2021	06:30:00	16.903
30/05/2021	06:45:00	16.903
30/05/2021	07:00:00	16.903
30/05/2021	07:15:00	16.903
30/05/2021	07:30:00	16.903
30/05/2021	07:45:00	16.999
30/05/2021	08:00:00	16.999
30/05/2021	08:15:00	16.903
30/05/2021	08:30:00	16.903
30/05/2021	08:45:00	16.903
30/05/2021	09:00:00	16.427
30/05/2021	09:15:00	16.713
30/05/2021	09:30:00	16.141
30/05/2021	09:45:00	16.808
30/05/2021	10:00:00	16.903
30/05/2021	10:15:00	16.903
30/05/2021	10:30:00	15.664
30/05/2021	10:45:00	15.569
30/05/2021	11:00:00	15.569
30/05/2021	11:15:00	15.664
30/05/2021	11:30:00	15.664
30/05/2021	11:45:00	15.664
30/05/2021	12:00:00	15.664
30/05/2021	12:15:00	15.76
30/05/2021	12:30:00	15.951
30/05/2021	12:45:00	16.237
30/05/2021	13:00:00	16.713
30/05/2021	13:15:00	16.618
30/05/2021	13:30:00	16.618
30/05/2021	13:45:00	16.713
30/05/2021	14:00:00	16.808
30/05/2021	14:15:00	16.523
30/05/2021	14:30:00	16.523
30/05/2021	14:45:00	16.523
30/05/2021	15:00:00	16.523
30/05/2021	15:15:00	16.523
30/05/2021	15:30:00	16.523
30/05/2021	15:45:00	16.427
30/05/2021	16:00:00	16.523
30/05/2021	16:15:00	16.523
30/05/2021	16:30:00	16.618
30/05/2021	16:45:00	16.618
30/05/2021	17:00:00	16.618
30/05/2021	17:15:00	16.618
30/05/2021	17:30:00	16.713
30/05/2021	17:45:00	16.713
30/05/2021	18:00:00	16.713
30/05/2021	18:15:00	16.713
30/05/2021	18:30:00	16.713
30/05/2021	18:45:00	16.713
30/05/2021	19:00:00	16.808
30/05/2021	19:15:00	16.808
30/05/2021	19:30:00	16.808
30/05/2021	19:45:00	16.808
30/05/2021	20:00:00	16.903
30/05/2021	20:15:00	16.903
30/05/2021	20:30:00	16.903
30/05/2021	20:45:00	16.903
30/05/2021	21:00:00	16.903
30/05/2021	21:15:00	16.999
30/05/2021	21:30:00	16.903
30/05/2021	21:45:00	16.903
30/05/2021	22:00:00	16.903
30/05/2021	22:15:00	16.903
30/05/2021	22:30:00	16.903
30/05/2021	22:45:00	16.999
30/05/2021	23:00:00	16.999
30/05/2021	23:15:00	16.999
30/05/2021	23:30:00	16.999
30/05/2021	23:45:00	16.999
31/05/2021	00:00:00	16.999
31/05/2021	00:15:00	17.094
31/05/2021	00:30:00	17.094
31/05/2021	00:45:00	17.094
31/05/2021	01:00:00	16.808
31/05/2021	01:15:00	16.237
31/05/2021	01:30:00	16.237
31/05/2021	01:45:00	16.332
31/05/2021	02:00:00	16.332
31/05/2021	02:15:00	16.427
31/05/2021	02:30:00	15.855
31/05/2021	02:45:00	15.664
31/05/2021	03:00:00	15.76
31/05/2021	03:15:00	16.141
31/05/2021	03:30:00	15.664
31/05/2021	03:45:00	16.332
31/05/2021	04:00:00	15.664
31/05/2021	04:15:00	16.332
31/05/2021	04:30:00	15.664
31/05/2021	04:45:00	15.76
31/05/2021	05:00:00	15.76
31/05/2021	05:15:00	16.237
31/05/2021	05:30:00	15.855
31/05/2021	05:45:00	15.76
31/05/2021	06:00:00	15.664
31/05/2021	06:15:00	15.569
31/05/2021	06:30:00	15.569
31/05/2021	06:45:00	15.569
31/05/2021	07:00:00	15.569
31/05/2021	07:15:00	15.473
31/05/2021	07:30:00	15.473
31/05/2021	07:45:00	15.473
31/05/2021	08:00:00	15.473
31/05/2021	08:15:00	15.473
31/05/2021	08:30:00	15.473
31/05/2021	08:45:00	15.473
31/05/2021	09:00:00	15.473
31/05/2021	09:15:00	15.473
31/05/2021	09:30:00	15.569
31/05/2021	09:45:00	15.473
31/05/2021	10:00:00	15.664
31/05/2021	10:15:00	15.664
31/05/2021	10:30:00	15.664
31/05/2021	10:45:00	15.855
31/05/2021	11:00:00	15.951
31/05/2021	11:15:00	15.951
31/05/2021	11:30:00	16.046
31/05/2021	11:45:00	15.951
31/05/2021	12:00:00	16.141
31/05/2021	12:15:00	16.141
31/05/2021	12:30:00	16.141
31/05/2021	12:45:00	16.141
31/05/2021	13:00:00	16.141
31/05/2021	13:15:00	16.237
31/05/2021	13:30:00	16.141
31/05/2021	13:45:00	16.046
31/05/2021	14:00:00	16.141
31/05/2021	14:15:00	16.046
31/05/2021	14:30:00	15.855
31/05/2021	14:45:00	15.855
31/05/2021	15:00:00	15.76
31/05/2021	15:15:00	15.855
31/05/2021	15:30:00	15.855
31/05/2021	15:45:00	15.76
31/05/2021	16:00:00	15.76
31/05/2021	16:15:00	15.664
31/05/2021	16:30:00	15.664
31/05/2021	16:45:00	15.569
31/05/2021	17:00:00	15.473
31/05/2021	17:15:00	15.569
31/05/2021	17:30:00	15.569
31/05/2021	17:45:00	15.855
31/05/2021	18:00:00	15.76
31/05/2021	18:15:00	15.76
31/05/2021	18:30:00	15.76
31/05/2021	18:45:00	15.951
31/05/2021	19:00:00	15.951
31/05/2021	19:15:00	15.951
31/05/2021	19:30:00	15.951
31/05/2021	19:45:00	15.855
31/05/2021	20:00:00	15.855
31/05/2021	20:15:00	15.664
31/05/2021	20:30:00	15.76
31/05/2021	20:45:00	15.664
31/05/2021	21:00:00	15.76
31/05/2021	21:15:00	15.855
31/05/2021	21:30:00	15.664
31/05/2021	21:45:00	15.664
31/05/2021	22:00:00	15.664
31/05/2021	22:15:00	15.664
31/05/2021	22:30:00	15.664
31/05/2021	22:45:00	15.664
31/05/2021	23:00:00	15.664
31/05/2021	23:15:00	15.76
31/05/2021	23:30:00	15.664
31/05/2021	23:45:00	15.664
01/06/2021	00:00:00	15.664
