date,temperature(c),depth(m)
1970-01-02 03:54:50,21.87,1.49
1970-01-02 03:55:50,22.07,2.07
1970-01-02 03:56:50,22.12,3.34
1970-01-02 03:57:50,22.18,5.69
1970-01-02 03:58:50,22.21,8.77
1970-01-02 03:59:50,22.21,10.78
1970-01-02 04:00:50,22.29,13.05
1970-01-02 04:01:50,22.29,13.57
1970-01-02 04:02:50,22.31,15.04
1970-01-02 04:03:50,22.32,16.32
1970-01-02 04:04:50,22.34,16.87
1970-01-02 04:05:50,22.27,17.96
1970-01-02 04:06:50,22.25,19.4
1970-01-02 04:07:50,22.17,19.63
1970-01-02 04:08:50,22.05,20.52
1970-01-02 04:09:50,21.98,20.97
1970-01-02 04:10:50,21.95,21.9
1970-01-02 04:11:50,21.95,21.97
1970-01-02 04:12:50,21.91,22.03
1970-01-02 04:13:50,21.94,20.57
1970-01-02 04:14:50,21.94,21.54
1970-01-02 04:15:50,21.93,19.62
1970-01-02 04:16:50,22.03,16.15
1970-01-02 04:17:50,22.17,12.33
1970-01-02 04:18:50,22.3,11.93
1970-01-02 04:19:50,22.33,12.3
1970-01-02 04:20:50,22.35,13.28
1970-01-02 04:21:50,22.34,13.46
1970-01-02 04:22:50,22.34,11.21
1970-01-02 04:23:50,22.33,9.11
1970-01-02 04:24:50,22.35,8.07
1970-01-02 04:25:50,22.36,6.91
1970-01-02 04:26:50,22.37,5.85
1970-01-02 04:27:50,22.38,5.58
1970-01-02 04:28:50,22.39,6.04
1970-01-02 04:29:50,22.39,6.12
1970-01-02 04:30:50,22.41,5.85
1970-01-02 04:31:50,22.39,5.61
1970-01-02 04:32:50,22.41,5.18
1970-01-02 04:33:50,22.38,3.63
1970-01-02 04:34:50,22.37,3.02
1970-01-02 04:35:50,22.35,1.84
1970-01-02 05:25:50,22.51,2.08
1970-01-02 05:26:50,22.49,3.02
1970-01-02 05:27:50,22.49,3.42
1970-01-02 05:28:50,22.5,3.51
1970-01-02 05:29:50,22.5,3.57
1970-01-02 05:30:50,22.53,1.87
1970-01-02 05:31:50,22.54,3.39
1970-01-02 05:32:50,22.55,3.42
1970-01-02 05:33:50,22.53,3.75
1970-01-02 05:34:50,22.55,1.99
1970-01-02 05:37:50,22.56,3.63
1970-01-02 05:38:50,22.53,2.65
1970-01-02 05:39:50,22.54,2.35
1970-01-02 05:40:50,22.57,2.22
1970-01-02 05:41:50,22.57,2.77
1970-01-02 05:42:50,22.58,3.23
1970-01-02 05:43:50,22.59,3.54
1970-01-02 05:44:50,22.57,2.87
1970-01-02 05:45:50,22.57,3.2
1970-01-02 05:46:50,22.56,3.42
1970-01-02 05:47:50,22.58,3.02
1970-01-02 05:48:50,22.59,3.54
1970-01-02 05:49:50,22.6,3.48
1970-01-02 05:50:50,22.6,3.57
1970-01-02 05:51:50,22.59,3.11
1970-01-02 05:52:50,22.59,3.42
1970-01-02 05:53:50,22.59,3.08
1970-01-02 05:54:50,22.61,3.54
1970-01-02 05:55:50,22.6,3.48
1970-01-02 05:56:50,22.6,3.69
1970-01-02 05:57:50,22.6,3.69
1970-01-02 05:58:50,22.6,3.88
1970-01-02 05:59:50,22.61,3.69
1970-01-02 06:00:50,22.6,2.8
1970-01-02 06:01:50,22.62,3.94
1970-01-02 06:02:50,22.61,3.57
1970-01-02 06:03:50,22.62,3.39
1970-01-02 06:04:50,22.63,3.78
1970-01-02 06:05:50,22.67,3.66
1970-01-02 06:06:50,22.65,3.51
1970-01-02 06:07:50,22.67,3.39
1970-01-02 06:08:50,22.64,3.29
1970-01-02 06:09:50,22.63,3.6
1970-01-02 06:10:50,22.63,3.84
1970-01-02 06:11:50,22.63,3.69
1970-01-02 06:12:50,22.64,3.51
1970-01-02 06:13:50,22.63,3.57
1970-01-02 06:14:50,22.67,3.2
1970-01-02 06:15:50,22.66,2.99
1970-01-02 06:16:50,22.67,2.68
1970-01-02 06:17:50,22.69,1.9
1970-01-02 06:50:50,22.81,2.05
1970-01-02 06:51:50,22.72,3.2
1970-01-02 06:52:50,22.51,4.12
1970-01-02 06:53:50,22.49,5.0
1970-01-02 06:54:50,22.42,5.49
1970-01-02 06:55:50,22.34,5.58
1970-01-02 06:56:50,22.29,5.55
1970-01-02 06:57:50,22.26,5.82
1970-01-02 06:58:50,22.25,5.87
1970-01-02 06:59:50,22.29,6.18
1970-01-02 07:00:50,22.25,5.33
1970-01-02 07:01:50,22.39,6.0
1970-01-02 07:02:50,22.39,8.65
1970-01-02 07:03:50,22.32,7.77
1970-01-02 07:04:50,22.29,7.31
1970-01-02 07:05:50,22.38,6.12
1970-01-02 07:06:50,22.36,4.84
1970-01-02 07:07:50,22.26,5.33
1970-01-02 07:08:50,22.32,5.79
1970-01-02 07:09:50,22.19,6.42
1970-01-02 07:10:50,22.19,5.81
1970-01-02 07:11:50,22.19,6.12
1970-01-02 07:12:50,22.21,5.72
1970-01-02 07:13:50,22.24,5.55
1970-01-02 07:14:50,22.27,4.48
1970-01-02 07:15:50,22.53,3.23
1970-01-02 07:16:50,22.65,2.53
