date,temperature(c),depth(m)
2024-09-11 12:21:18,22.33,2.44
2024-09-11 12:21:19,22.3,2.58
2024-09-11 12:21:20,22.32,2.75
2024-09-11 12:21:21,22.34,2.99
2024-09-11 12:21:22,22.33,3.22
2024-09-11 12:21:23,22.34,3.49
2024-09-11 12:21:24,22.34,3.75
2024-09-11 12:21:25,22.32,4.02
2024-09-11 12:21:26,22.32,4.31
2024-09-11 12:21:27,22.34,4.52
2024-09-11 12:21:28,22.32,4.69
2024-09-11 12:21:29,22.3,4.93
2024-09-11 12:21:30,22.32,5.04
2024-09-11 12:21:31,22.29,5.19
2024-09-11 12:21:32,22.33,5.43
2024-09-11 12:21:33,22.32,5.63
2024-09-11 12:21:34,22.33,5.8
2024-09-11 12:21:35,22.34,5.91
2024-09-11 12:21:36,22.32,6.1
2024-09-11 12:21:37,22.32,6.24
2024-09-11 12:21:38,22.32,6.41
2024-09-11 12:21:39,22.29,6.57
2024-09-11 12:21:40,22.33,6.71
2024-09-11 12:21:41,22.32,6.82
2024-09-11 12:21:42,22.32,6.85
2024-09-11 12:21:43,22.29,6.98
2024-09-11 12:21:44,22.29,7.18
2024-09-11 12:21:45,22.28,7.32
2024-09-11 12:21:46,22.29,7.41
2024-09-11 12:21:47,22.29,7.51
2024-09-11 12:21:48,22.28,7.59
2024-09-11 12:21:49,22.28,7.56
2024-09-11 12:21:50,22.28,7.59
2024-09-11 12:21:51,22.29,7.68
2024-09-11 12:21:52,22.28,7.73
2024-09-11 12:21:53,22.3,7.88
2024-09-11 12:21:54,22.28,7.99
2024-09-11 12:21:55,22.32,8.06
2024-09-11 12:21:56,22.29,8.12
2024-09-11 12:21:57,22.3,8.2
2024-09-11 12:21:58,22.28,8.32
2024-09-11 12:21:59,22.28,8.32
2024-09-11 12:22:00,22.28,8.41
2024-09-11 12:22:01,22.28,8.53
2024-09-11 12:22:02,22.28,8.62
2024-09-11 12:22:03,22.28,8.76
2024-09-11 12:22:04,22.27,9.02
2024-09-11 12:22:05,22.28,9.17
2024-09-11 12:22:06,22.25,9.34
2024-09-11 12:22:07,22.28,9.46
2024-09-11 12:22:08,22.27,9.54
2024-09-11 12:22:09,22.26,9.64
2024-09-11 12:22:10,22.27,9.78
2024-09-11 12:22:11,22.25,9.87
2024-09-11 12:22:12,22.24,9.96
2024-09-11 12:22:13,22.24,10.11
2024-09-11 12:22:14,22.24,10.23
2024-09-11 12:22:15,22.22,10.31
2024-09-11 12:22:16,22.25,10.43
2024-09-11 12:22:17,22.22,10.45
2024-09-11 12:22:18,22.21,10.54
2024-09-11 12:22:19,22.22,10.61
2024-09-11 12:22:20,22.23,10.64
2024-09-11 12:22:21,22.25,10.67
2024-09-11 12:22:22,22.22,10.72
2024-09-11 12:22:23,22.21,10.78
2024-09-11 12:22:24,22.22,10.87
2024-09-11 12:22:25,22.21,10.92
2024-09-11 12:22:26,22.24,11.01
2024-09-11 12:22:27,22.23,11.04
2024-09-11 12:22:28,22.22,11.07
2024-09-11 12:22:29,22.22,11.13
2024-09-11 12:22:30,22.23,11.13
2024-09-11 12:22:31,22.22,11.16
2024-09-11 12:22:32,22.22,11.25
2024-09-11 12:22:33,22.22,11.34
2024-09-11 12:22:34,22.24,11.42
2024-09-11 12:22:35,22.23,11.39
2024-09-11 12:22:36,22.24,11.39
2024-09-11 12:22:37,22.22,11.48
