date,temperature(c),depth(m)
2024-09-04 17:01:45,25.42,1.32
2024-09-04 17:02:00,25.46,1.5
2024-09-04 17:02:15,25.48,1.52
2024-09-04 17:02:30,25.48,3.43
2024-09-04 17:02:45,25.49,4.04
2024-09-04 17:03:00,25.52,5.32
2024-09-04 17:03:15,25.49,5.69
2024-09-04 17:03:30,25.51,5.97
2024-09-04 17:03:45,25.52,6.0
2024-09-04 17:04:00,25.5,6.18
2024-09-04 17:04:15,25.48,8.18
2024-09-04 17:04:30,25.47,8.45
2024-09-04 17:04:45,25.46,7.93
2024-09-04 17:05:00,25.45,9.43
2024-09-04 17:05:15,25.41,10.11
2024-09-04 17:05:30,25.4,10.79
2024-09-04 17:05:45,25.34,10.85
2024-09-04 17:06:00,25.21,10.7
2024-09-04 17:06:15,25.0,11.31
2024-09-04 17:06:30,24.89,11.31
2024-09-04 17:06:45,24.78,11.34
2024-09-04 17:07:00,24.67,11.24
2024-09-04 17:07:15,24.42,11.27
2024-09-04 17:07:30,24.31,11.24
2024-09-04 17:07:45,24.17,10.99
2024-09-04 17:08:00,24.1,12.19
2024-09-04 17:08:15,24.0,12.4
2024-09-04 17:08:30,23.91,12.98
2024-09-04 17:08:45,23.85,12.64
2024-09-04 17:09:00,23.78,13.29
2024-09-04 17:09:15,23.69,13.53
2024-09-04 17:09:30,23.66,14.14
2024-09-04 17:09:45,23.66,14.73
2024-09-04 17:10:00,23.63,14.97
2024-09-04 17:10:15,23.58,15.8
2024-09-04 17:10:30,23.55,16.34
2024-09-04 17:10:45,23.53,16.58
2024-09-04 17:11:00,23.48,17.04
2024-09-04 17:11:15,23.46,17.32
2024-09-04 17:11:30,23.43,18.2
2024-09-04 17:11:45,23.38,18.84
2024-09-04 17:12:00,23.33,20.04
2024-09-04 17:12:15,23.21,19.26
2024-09-04 17:12:30,23.03,19.81
2024-09-04 17:12:45,22.95,20.18
2024-09-04 17:13:00,22.84,20.67
2024-09-04 17:13:15,22.68,20.84
2024-09-04 17:13:30,22.56,20.11
2024-09-04 17:13:45,22.43,20.63
2024-09-04 17:14:00,22.38,21.51
2024-09-04 17:14:15,22.32,20.68
2024-09-04 17:14:30,22.25,20.47
2024-09-04 17:14:45,22.22,19.55
2024-09-04 17:15:00,22.2,18.72
2024-09-04 17:15:15,22.17,17.9
2024-09-04 17:15:30,22.2,17.13
2024-09-04 17:15:45,22.32,16.77
2024-09-04 17:16:00,22.38,16.41
2024-09-04 17:16:15,22.5,16.25
2024-09-04 17:16:30,22.57,16.29
2024-09-04 17:16:45,22.64,15.37
2024-09-04 17:17:00,22.74,15.86
2024-09-04 17:17:15,22.78,14.94
2024-09-04 17:17:30,22.8,15.04
2024-09-04 17:17:45,22.84,14.61
2024-09-04 17:18:00,22.89,15.22
2024-09-04 17:18:15,22.95,16.5
2024-09-04 17:18:30,22.95,18.49
2024-09-04 17:18:45,22.92,19.5
2024-09-04 17:19:00,22.88,19.16
2024-09-04 17:19:15,22.82,19.53
2024-09-04 17:19:30,22.75,19.41
2024-09-04 17:19:45,22.67,18.95
2024-09-04 17:20:00,22.63,19.21
2024-09-04 17:20:15,22.55,19.06
2024-09-04 17:20:30,22.53,18.6
2024-09-04 17:20:45,22.51,17.48
2024-09-04 17:21:00,22.52,18.42
2024-09-04 17:21:15,22.53,19.27
2024-09-04 17:21:30,22.52,19.95
2024-09-04 17:21:45,22.45,19.89
2024-09-04 17:22:00,22.28,20.04
2024-09-04 17:22:15,22.19,21.56
2024-09-04 17:22:30,22.14,23.26
2024-09-04 17:22:45,22.03,24.87
2024-09-04 17:23:00,21.84,26.37
2024-09-04 17:23:15,21.56,27.74
2024-09-04 17:23:30,21.53,28.52
2024-09-04 17:23:45,21.44,29.25
2024-09-04 17:24:00,21.23,29.39
2024-09-04 17:24:15,20.99,30.05
2024-09-04 17:24:30,20.86,30.41
2024-09-04 17:24:45,20.71,29.8
2024-09-04 17:25:00,20.58,30.06
2024-09-04 17:25:15,20.43,28.56
2024-09-04 17:25:30,20.33,28.5
2024-09-04 17:25:45,20.28,27.8
2024-09-04 17:26:00,20.26,28.49
2024-09-04 17:26:15,20.25,28.25
2024-09-04 17:26:30,20.26,27.45
2024-09-04 17:26:45,20.25,27.02
2024-09-04 17:27:00,20.28,27.27
2024-09-04 17:27:15,20.28,27.62
2024-09-04 17:27:30,20.35,28.21
2024-09-04 17:27:45,20.33,29.48
