date,temperature(c),depth(m)
2024-08-25 08:58:49,24.12,2.19
2024-08-25 08:58:50,24.12,2.19
2024-08-25 08:58:51,24.12,2.13
2024-08-25 08:58:52,24.14,2.13
2024-08-25 08:58:53,24.13,2.1
2024-08-25 08:58:54,24.14,2.1
2024-08-25 08:58:55,24.14,2.19
2024-08-25 08:58:56,24.14,2.16
2024-08-25 08:58:57,24.14,2.16
2024-08-25 08:58:58,24.14,2.13
2024-08-25 08:58:59,24.14,2.25
2024-08-25 08:59:00,24.14,2.31
2024-08-25 08:59:01,24.14,2.31
2024-08-25 08:59:02,24.14,2.38
2024-08-25 08:59:03,24.14,2.31
2024-08-25 08:59:04,24.15,2.44
2024-08-25 08:59:05,24.14,2.41
2024-08-25 08:59:06,24.14,2.41
2024-08-25 08:59:07,24.14,2.31
2024-08-25 08:59:08,24.16,2.38
2024-08-25 08:59:09,24.16,2.53
2024-08-25 08:59:10,24.14,2.47
2024-08-25 08:59:11,24.15,2.41
2024-08-25 08:59:12,24.15,2.5
2024-08-25 08:59:13,24.17,2.56
2024-08-25 08:59:14,24.14,2.68
2024-08-25 08:59:15,24.16,2.71
2024-08-25 08:59:16,24.16,2.56
2024-08-25 08:59:17,24.17,2.56
2024-08-25 08:59:18,24.15,2.53
2024-08-25 08:59:19,24.15,2.53
2024-08-25 08:59:20,24.16,2.47
2024-08-25 08:59:21,24.14,2.44
2024-08-25 08:59:22,24.14,2.5
2024-08-25 08:59:23,24.16,2.53
2024-08-25 08:59:24,24.16,2.56
2024-08-25 08:59:25,24.17,2.68
2024-08-25 08:59:26,24.15,2.74
2024-08-25 08:59:27,24.16,2.74
2024-08-25 08:59:28,24.17,2.71
2024-08-25 08:59:29,24.16,2.68
2024-08-25 08:59:30,24.17,2.71
2024-08-25 08:59:31,24.17,2.74
2024-08-25 08:59:32,24.15,2.71
2024-08-25 08:59:33,24.17,2.68
2024-08-25 08:59:34,24.17,2.74
2024-08-25 08:59:35,24.17,2.71
2024-08-25 08:59:36,24.17,2.74
2024-08-25 08:59:37,24.17,2.74
2024-08-25 08:59:38,24.15,2.74
2024-08-25 08:59:39,24.17,2.77
2024-08-25 08:59:40,24.15,2.74
2024-08-25 08:59:41,24.17,2.77
2024-08-25 08:59:42,24.16,2.83
2024-08-25 08:59:43,24.17,2.83
2024-08-25 08:59:44,24.17,2.87
2024-08-25 08:59:45,24.17,2.87
2024-08-25 08:59:46,24.17,2.8
2024-08-25 08:59:47,24.17,2.77
2024-08-25 08:59:48,24.17,2.8
2024-08-25 08:59:49,24.17,2.77
2024-08-25 08:59:50,24.14,2.68
2024-08-25 08:59:51,24.16,2.68
2024-08-25 08:59:52,24.16,2.71
2024-08-25 08:59:53,24.17,2.77
2024-08-25 08:59:54,24.17,2.87
2024-08-25 08:59:55,24.17,2.96
2024-08-25 08:59:56,24.16,3.02
2024-08-25 08:59:57,24.17,3.2
2024-08-25 08:59:58,24.17,3.29
2024-08-25 08:59:59,24.17,3.42
2024-08-25 09:00:00,24.17,3.69
2024-08-25 09:00:01,24.17,3.97
2024-08-25 09:00:02,24.17,4.33
2024-08-25 09:00:03,24.18,4.52
2024-08-25 09:00:04,24.18,4.73
2024-08-25 09:00:05,24.18,4.85
2024-08-25 09:00:06,24.18,5.07
2024-08-25 09:00:07,24.18,5.16
2024-08-25 09:00:08,24.2,5.16
2024-08-25 09:00:09,24.17,5.04
2024-08-25 09:00:10,24.19,5.04
2024-08-25 09:00:11,24.19,5.07
2024-08-25 09:00:12,24.17,5.1
2024-08-25 09:00:13,24.18,5.13
2024-08-25 09:00:14,24.17,5.13
2024-08-25 09:00:15,24.19,5.07
2024-08-25 09:00:16,24.18,5.04
2024-08-25 09:00:17,24.18,5.04
2024-08-25 09:00:18,24.18,5.07
2024-08-25 09:00:19,24.21,5.13
2024-08-25 09:00:20,24.19,5.1
2024-08-25 09:00:21,24.2,5.1
2024-08-25 09:00:22,24.18,5.16
2024-08-25 09:00:23,24.17,5.07
2024-08-25 09:00:24,24.19,5.1
2024-08-25 09:00:25,24.2,5.16
2024-08-25 09:00:26,24.2,5.13
2024-08-25 09:00:27,24.21,5.04
2024-08-25 09:00:28,24.2,5.01
2024-08-25 09:00:29,24.21,5.04
2024-08-25 09:00:30,24.19,5.07
2024-08-25 09:00:31,24.18,5.13
2024-08-25 09:00:32,24.2,4.98
2024-08-25 09:00:33,24.18,4.92
2024-08-25 09:00:34,24.19,4.88
2024-08-25 09:00:35,24.2,4.85
2024-08-25 09:00:36,24.2,4.79
2024-08-25 09:00:37,24.19,4.88
2024-08-25 09:00:38,24.19,5.01
2024-08-25 09:00:39,24.2,5.01
2024-08-25 09:00:40,24.21,5.04
2024-08-25 09:00:41,24.22,5.07
2024-08-25 09:00:42,24.2,5.16
2024-08-25 09:00:43,24.19,5.22
2024-08-25 09:00:44,24.21,5.19
2024-08-25 09:00:45,24.21,5.13
2024-08-25 09:00:46,24.2,5.16
2024-08-25 09:00:47,24.22,5.16
2024-08-25 09:00:48,24.21,5.25
2024-08-25 09:00:49,24.22,5.22
2024-08-25 09:00:50,24.22,5.22
2024-08-25 09:00:51,24.23,5.16
2024-08-25 09:00:52,24.21,5.22
2024-08-25 09:00:53,24.22,5.34
2024-08-25 09:00:54,24.21,5.31
2024-08-25 09:00:55,24.21,5.25
2024-08-25 09:00:56,24.21,5.34
2024-08-25 09:00:57,24.21,5.31
2024-08-25 09:00:58,24.22,5.28
2024-08-25 09:00:59,24.19,5.22
2024-08-25 09:01:00,24.22,5.33
2024-08-25 09:01:01,24.21,5.37
2024-08-25 09:01:02,24.21,5.34
2024-08-25 09:01:03,24.21,5.27
2024-08-25 09:01:04,24.23,5.28
2024-08-25 09:01:05,24.23,5.37
2024-08-25 09:01:06,24.21,5.37
2024-08-25 09:01:07,24.22,5.22
2024-08-25 09:01:08,24.23,5.13
2024-08-25 09:01:09,24.21,5.22
2024-08-25 09:01:10,24.25,5.34
2024-08-25 09:01:11,24.22,5.44
2024-08-25 09:01:12,24.21,5.37
2024-08-25 09:01:13,24.23,5.28
2024-08-25 09:01:14,24.21,5.31
2024-08-25 09:01:15,24.23,5.37
2024-08-25 09:01:16,24.21,5.37
2024-08-25 09:01:17,24.22,5.37
2024-08-25 09:01:18,24.23,5.34
2024-08-25 09:01:19,24.22,5.34
2024-08-25 09:01:20,24.21,5.37
2024-08-25 09:01:21,24.22,5.4
2024-08-25 09:01:22,24.22,5.37
2024-08-25 09:01:23,24.21,5.34
2024-08-25 09:01:24,24.22,5.31
2024-08-25 09:01:25,24.23,5.37
2024-08-25 09:01:26,24.23,5.33
2024-08-25 09:01:27,24.22,5.34
2024-08-25 09:01:28,24.22,5.37
2024-08-25 09:01:29,24.22,5.36
2024-08-25 09:01:30,24.22,5.28
2024-08-25 09:01:31,24.23,5.28
