date,temperature(c),depth(m)
2024-08-02 11:27:52,28.58,1.38
2024-08-02 11:27:53,28.57,1.25
2024-08-02 11:27:54,28.57,1.35
2024-08-02 11:27:55,28.52,1.01
2024-08-02 11:28:01,28.51,1.04
2024-08-02 11:28:04,28.47,1.01
2024-08-02 11:28:05,28.47,1.07
2024-08-02 11:28:06,28.47,1.01
2024-08-02 11:28:07,28.46,1.04
2024-08-02 11:28:08,28.46,1.04
2024-08-02 11:28:09,28.45,1.04
2024-08-02 11:28:10,28.45,1.07
2024-08-02 11:28:11,28.44,1.16
2024-08-02 11:28:12,28.44,1.13
2024-08-02 11:28:13,28.44,1.23
2024-08-02 11:28:14,28.45,1.33
2024-08-02 11:28:15,28.45,1.3
2024-08-02 11:28:16,28.45,1.39
2024-08-02 11:28:17,28.43,1.45
2024-08-02 11:28:18,28.45,1.63
2024-08-02 11:28:19,28.44,1.54
2024-08-02 11:28:20,28.45,1.63
2024-08-02 11:28:21,28.43,1.6
2024-08-02 11:28:22,28.43,1.73
2024-08-02 11:28:23,28.44,1.66
2024-08-02 11:28:24,28.45,1.73
2024-08-02 11:28:25,28.42,1.73
2024-08-02 11:28:26,28.44,1.92
2024-08-02 11:28:27,28.44,2.41
2024-08-02 11:28:28,28.42,2.94
2024-08-02 11:28:29,28.43,3.53
2024-08-02 11:28:30,28.42,4.12
2024-08-02 11:28:31,28.4,4.7
2024-08-02 11:28:32,28.42,5.38
2024-08-02 11:28:33,28.42,6.01
2024-08-02 11:28:34,28.39,6.63
2024-08-02 11:28:35,28.39,7.22
2024-08-02 11:28:36,28.35,7.86
2024-08-02 11:28:37,28.34,8.48
2024-08-02 11:28:38,28.31,9.11
2024-08-02 11:28:39,28.31,9.72
2024-08-02 11:28:40,28.28,10.37
2024-08-02 11:28:41,28.26,10.9
2024-08-02 11:28:42,28.26,11.36
2024-08-02 11:28:43,28.22,11.71
2024-08-02 11:28:44,28.18,12.04
2024-08-02 11:28:45,28.17,12.48
2024-08-02 11:28:46,28.14,12.79
2024-08-02 11:28:47,28.12,13.19
2024-08-02 11:28:48,28.19,13.5
2024-08-02 11:28:49,28.23,13.84
2024-08-02 11:28:50,28.28,13.99
2024-08-02 11:28:51,28.3,13.87
2024-08-02 11:28:52,28.32,13.96
2024-08-02 11:28:53,28.35,13.84
2024-08-02 11:28:54,28.35,13.87
2024-08-02 11:28:55,28.36,13.78
2024-08-02 11:28:56,28.38,13.81
2024-08-02 11:28:57,28.38,13.72
2024-08-02 11:28:58,28.39,13.78
2024-08-02 11:28:59,28.39,13.81
2024-08-02 11:29:00,28.39,13.72
2024-08-02 11:29:01,28.39,13.72
2024-08-02 11:29:02,28.39,13.68
2024-08-02 11:29:03,28.39,13.62
2024-08-02 11:29:04,28.39,13.62
2024-08-02 11:29:05,28.38,13.62
2024-08-02 11:29:06,28.38,13.62
2024-08-02 11:29:07,28.39,13.62
2024-08-02 11:29:08,28.39,13.65
2024-08-02 11:29:09,28.39,13.59
2024-08-02 11:29:10,28.39,13.59
2024-08-02 11:29:11,28.36,13.5
2024-08-02 11:29:12,28.36,13.5
2024-08-02 11:29:13,28.36,13.44
2024-08-02 11:29:14,28.39,13.5
2024-08-02 11:29:15,28.39,13.44
2024-08-02 11:29:16,28.36,13.47
2024-08-02 11:29:17,28.38,13.44
2024-08-02 11:29:18,28.36,13.47
2024-08-02 11:29:19,28.35,13.5
2024-08-02 11:29:20,28.36,13.44
2024-08-02 11:29:21,28.36,13.44
2024-08-02 11:29:22,28.36,13.38
2024-08-02 11:29:23,28.38,13.38
2024-08-02 11:29:24,28.38,13.41
2024-08-02 11:29:25,28.39,13.44
2024-08-02 11:29:26,28.35,13.41
2024-08-02 11:29:27,28.39,13.34
2024-08-02 11:29:28,28.35,13.37
2024-08-02 11:29:29,28.34,13.34
2024-08-02 11:29:30,28.33,13.31
2024-08-02 11:29:31,28.31,13.25
2024-08-02 11:29:32,28.28,13.19
2024-08-02 11:29:33,28.27,13.19
2024-08-02 11:29:34,28.28,13.22
2024-08-02 11:29:35,28.22,13.28
2024-08-02 11:29:36,28.24,13.22
2024-08-02 11:29:37,28.22,13.28
2024-08-02 11:29:38,28.22,13.28
2024-08-02 11:29:39,28.24,13.31
2024-08-02 11:29:40,28.24,13.34
2024-08-02 11:29:41,28.23,13.37
2024-08-02 11:29:42,28.26,13.43
2024-08-02 11:29:43,28.28,13.4
2024-08-02 11:29:44,28.32,13.37
2024-08-02 11:29:45,28.32,13.4
2024-08-02 11:29:46,28.3,13.4
2024-08-02 11:29:47,28.32,13.4
2024-08-02 11:29:48,28.34,13.49
2024-08-02 11:29:49,28.35,13.46
2024-08-02 11:29:50,28.36,13.56
2024-08-02 11:29:51,28.35,13.53
2024-08-02 11:29:52,28.36,13.52
2024-08-02 11:29:53,28.38,13.52
2024-08-02 11:29:54,28.35,13.65
2024-08-02 11:29:55,28.36,13.52
2024-08-02 11:29:56,28.38,13.52
2024-08-02 11:29:57,28.35,13.59
2024-08-02 11:29:58,28.36,13.62
2024-08-02 11:29:59,28.33,13.52
2024-08-02 11:30:00,28.35,13.55
2024-08-02 11:30:01,28.35,13.68
2024-08-02 11:30:02,28.35,13.81
2024-08-02 11:30:03,28.34,13.78
2024-08-02 11:30:04,28.35,13.87
2024-08-02 11:30:05,28.35,13.81
2024-08-02 11:30:06,28.35,13.9
2024-08-02 11:30:07,28.35,13.84
2024-08-02 11:30:08,28.36,13.84
2024-08-02 11:30:09,28.35,13.81
2024-08-02 11:30:10,28.35,13.9
2024-08-02 11:30:11,28.34,13.84
2024-08-02 11:30:12,28.35,13.84
2024-08-02 11:30:13,28.36,13.46
2024-08-02 11:30:14,28.34,12.69
2024-08-02 11:30:15,28.29,11.98
2024-08-02 11:30:16,28.23,11.48
2024-08-02 11:30:17,28.2,10.96
2024-08-02 11:30:18,28.17,10.62
2024-08-02 11:30:19,28.16,10.43
2024-08-02 11:30:20,28.15,10.46
2024-08-02 11:30:21,28.14,10.46
2024-08-02 11:30:22,28.16,10.68
2024-08-02 11:30:23,28.15,10.84
2024-08-02 11:30:24,28.14,11.18
2024-08-02 11:30:25,28.15,11.39
2024-08-02 11:30:26,28.14,11.67
2024-08-02 11:30:27,28.1,12.1
2024-08-02 11:30:28,28.09,12.44
2024-08-02 11:30:29,28.08,12.62
2024-08-02 11:30:30,28.07,12.88
2024-08-02 11:30:31,28.07,12.88
2024-08-02 11:30:32,28.06,12.91
2024-08-02 11:30:33,28.07,12.91
2024-08-02 11:30:34,28.06,12.94
2024-08-02 11:30:35,28.06,12.94
2024-08-02 11:30:36,28.06,12.78
2024-08-02 11:30:37,28.07,12.88
2024-08-02 11:30:38,28.05,12.81
2024-08-02 11:30:39,28.05,12.78
2024-08-02 11:30:40,28.07,12.69
2024-08-02 11:30:41,28.05,12.97
2024-08-02 11:30:42,28.07,13.34
2024-08-02 11:30:43,28.1,13.49
2024-08-02 11:30:44,28.15,13.74
2024-08-02 11:30:45,28.18,13.77
2024-08-02 11:30:46,28.24,13.49
2024-08-02 11:30:47,28.24,13.52
2024-08-02 11:30:48,28.26,13.55
2024-08-02 11:30:49,28.26,13.67
2024-08-02 11:30:50,28.28,13.64
2024-08-02 11:30:51,28.28,13.71
2024-08-02 11:30:52,28.28,13.74
2024-08-02 11:30:53,28.33,13.77
2024-08-02 11:30:54,28.32,13.77
2024-08-02 11:30:55,28.32,13.74
2024-08-02 11:30:56,28.32,13.77
2024-08-02 11:30:57,28.33,13.74
2024-08-02 11:30:58,28.33,13.77
2024-08-02 11:30:59,28.32,13.77
2024-08-02 11:31:00,28.33,13.74
2024-08-02 11:31:01,28.34,13.93
2024-08-02 11:31:02,28.32,13.8
2024-08-02 11:31:03,28.34,13.86
2024-08-02 11:31:04,28.34,13.83
2024-08-02 11:31:05,28.32,13.83
2024-08-02 11:31:06,28.33,13.8
2024-08-02 11:31:07,28.32,13.8
2024-08-02 11:31:08,28.34,13.77
2024-08-02 11:31:09,28.32,13.8
2024-08-02 11:31:10,28.34,13.77
2024-08-02 11:31:11,28.33,13.8
2024-08-02 11:31:12,28.32,13.8
2024-08-02 11:31:13,28.34,13.83
2024-08-02 11:31:14,28.32,13.86
2024-08-02 11:31:15,28.34,13.8
2024-08-02 11:31:16,28.32,13.71
2024-08-02 11:31:17,28.32,13.8
2024-08-02 11:31:18,28.33,13.67
2024-08-02 11:31:19,28.31,13.8
2024-08-02 11:31:20,28.33,13.77
2024-08-02 11:31:21,28.32,13.74
2024-08-02 11:31:22,28.32,13.8
