date,temperature(c),depth(m)
1970-01-01 18:07:40,24.66,3.17
1970-01-01 18:08:40,24.67,11.21
1970-01-01 18:09:40,24.64,20.93
1970-01-01 18:10:40,24.56,25.81
1970-01-01 18:11:40,24.31,26.13
1970-01-01 18:12:40,24.4,24.74
1970-01-01 18:13:40,21.95,28.6
1970-01-01 18:14:40,21.91,27.64
1970-01-01 18:15:40,24.14,24.51
1970-01-01 18:16:40,24.46,22.34
1970-01-01 18:17:40,24.57,19.0
1970-01-01 18:18:40,24.58,18.73
1970-01-01 18:19:40,24.62,20.04
1970-01-01 18:20:40,24.58,22.3
1970-01-01 18:21:40,24.62,21.39
1970-01-01 18:22:40,24.6,20.48
1970-01-01 18:23:40,24.66,20.57
1970-01-01 18:24:40,24.63,19.93
1970-01-01 18:25:40,24.66,17.68
1970-01-01 18:26:40,24.65,17.12
1970-01-01 18:27:40,24.66,19.9
1970-01-01 18:28:40,24.64,19.18
1970-01-01 18:29:40,24.65,17.31
1970-01-01 18:30:40,24.65,16.39
1970-01-01 18:31:40,24.64,16.68
1970-01-01 18:32:40,24.64,16.77
1970-01-01 18:33:40,24.66,18.77
1970-01-01 18:34:40,24.67,20.27
1970-01-01 18:35:40,24.65,17.62
1970-01-01 18:36:40,24.66,17.8
1970-01-01 18:37:40,24.67,16.59
1970-01-01 18:38:40,24.67,13.48
1970-01-01 18:39:40,24.67,12.3
1970-01-01 18:40:40,24.67,10.63
1970-01-01 18:41:40,24.69,10.18
1970-01-01 18:42:40,24.67,10.56
1970-01-01 18:43:40,24.68,9.97
1970-01-01 18:44:40,24.67,10.03
1970-01-01 18:45:40,24.67,10.18
1970-01-01 18:46:40,24.66,10.15
1970-01-01 18:47:40,24.66,10.53
1970-01-01 18:48:40,24.67,10.18
1970-01-01 18:49:40,24.67,9.88
1970-01-01 18:50:40,24.64,10.06
1970-01-01 18:51:40,24.68,9.97
1970-01-01 18:52:40,24.67,10.0
1970-01-01 18:53:40,24.67,9.74
1970-01-01 18:54:40,24.67,7.82
1970-01-01 18:55:40,24.67,7.51
1970-01-01 18:56:40,24.67,7.29
1970-01-01 18:57:40,24.67,7.47
1970-01-01 18:58:40,24.66,7.18
1970-01-01 18:59:40,24.67,7.01
1970-01-01 19:00:40,24.69,7.15
1970-01-01 19:01:40,24.67,5.71
1970-01-01 19:02:40,24.69,5.85
1970-01-01 19:03:40,24.71,5.62
1970-01-01 19:04:40,24.68,8.59
1970-01-01 19:05:40,24.68,5.56
1970-01-01 19:06:40,24.71,4.65
1970-01-01 19:07:40,24.68,4.76
1970-01-01 19:08:40,24.71,4.06
1970-01-01 19:09:40,24.69,5.5
1970-01-01 19:10:40,24.67,3.97
1970-01-01 19:11:40,24.67,5.09
1970-01-01 19:12:40,24.67,5.62
1970-01-01 19:13:40,24.68,4.29
1970-01-01 19:14:40,24.69,3.65
1970-01-01 19:15:40,24.74,2.53
