File name: sd_tossa_n33csic_2024-09-08T10:01:32_2024-09-08T11:27:21

User: sd_tossa

Sensor: n33csic[DA:4B:8D:59:24:D0]

Dive: mar menuda 08/09
Dive date range: 2024-09-08 10:01:32 - 2024-09-08 11:27:21 (UTC +02:00)

"Location: 41.721736,2.938936"

Summary: 
Duration: 1:25:49 h.
Temp: 22.1 c (min.) 25.26 c (max.) 
Depth: -7.72 m (max.)

date,temperature(c),depth(m)
2024-09-08 10:01:32,25.15,-1.39
2024-09-08 10:01:33,25.14,-1.39
2024-09-08 10:01:34,25.14,-1.48
2024-09-08 10:01:35,25.14,-1.57
2024-09-08 10:01:36,25.14,-1.39
2024-09-08 10:01:37,25.14,-1.23
2024-09-08 10:01:38,25.15,-1.26
2024-09-08 10:01:39,25.16,-1.33
2024-09-08 10:01:40,25.14,-1.33
2024-09-08 10:01:41,25.14,-1.33
2024-09-08 10:01:42,25.16,-1.2
2024-09-08 10:01:43,25.15,-1.33
2024-09-08 10:01:44,25.14,-1.3
2024-09-08 10:01:45,25.16,-1.17
2024-09-08 10:01:46,25.18,-1.08
2024-09-08 10:01:47,25.16,-1.14
2024-09-08 10:01:48,25.18,-1.2
2024-09-08 10:01:49,25.15,-1.23
2024-09-08 10:01:50,25.18,-1.17
2024-09-08 10:01:51,25.16,-1.14
2024-09-08 10:01:52,25.16,-1.23
2024-09-08 10:01:53,25.18,-1.14
2024-09-08 10:01:54,25.16,-1.02
2024-09-08 10:01:55,25.18,-1.02
2024-09-08 10:01:56,25.17,-1.05
2024-09-08 10:01:57,25.16,-1.05
2024-09-08 10:01:58,25.17,-1.02
2024-09-08 10:01:59,25.16,-0.99
2024-09-08 10:02:00,25.14,-0.99
2024-09-08 10:02:01,25.17,-0.99
2024-09-08 10:02:02,25.17,-1.11
2024-09-08 10:02:03,25.17,-1.17
2024-09-08 10:02:04,25.17,-1.2
2024-09-08 10:02:05,25.15,-1.2
2024-09-08 10:02:06,25.17,-1.2
2024-09-08 10:02:07,25.16,-1.26
2024-09-08 10:02:08,25.18,-1.17
2024-09-08 10:02:09,25.16,-1.26
2024-09-08 10:02:10,25.2,-1.33
2024-09-08 10:02:11,25.18,-1.36
2024-09-08 10:02:12,25.18,-1.3
2024-09-08 10:02:13,25.17,-1.2
2024-09-08 10:02:14,25.18,-1.2
2024-09-08 10:02:15,25.19,-1.23
2024-09-08 10:02:16,25.18,-1.36
2024-09-08 10:02:17,25.16,-1.33
2024-09-08 10:02:18,25.17,-1.3
2024-09-08 10:02:19,25.19,-1.3
2024-09-08 10:02:20,25.18,-1.42
2024-09-08 10:02:21,25.17,-1.48
2024-09-08 10:02:22,25.19,-1.57
2024-09-08 10:02:23,25.17,-1.54
2024-09-08 10:02:24,25.18,-1.45
2024-09-08 10:02:25,25.16,-1.36
2024-09-08 10:02:26,25.19,-1.33
2024-09-08 10:02:27,25.18,-1.39
2024-09-08 10:02:28,25.18,-1.33
2024-09-08 10:02:29,25.17,-1.2
2024-09-08 10:02:30,25.16,-1.39
2024-09-08 10:02:31,25.2,-1.45
2024-09-08 10:02:32,25.18,-1.42
2024-09-08 10:02:33,25.18,-1.36
2024-09-08 10:02:34,25.19,-1.36
2024-09-08 10:02:35,25.19,-1.39
2024-09-08 10:02:36,25.16,-1.45
2024-09-08 10:02:37,25.17,-1.42
2024-09-08 10:02:38,25.18,-1.39
2024-09-08 10:02:39,25.19,-1.39
2024-09-08 10:02:40,25.17,-1.42
2024-09-08 10:02:41,25.18,-1.51
2024-09-08 10:02:42,25.19,-1.45
2024-09-08 10:02:43,25.17,-1.45
2024-09-08 10:02:44,25.19,-1.48
2024-09-08 10:02:45,25.17,-1.48
2024-09-08 10:02:46,25.17,-1.39
2024-09-08 10:02:47,25.17,-1.36
2024-09-08 10:02:48,25.17,-1.39
2024-09-08 10:02:49,25.18,-1.39
2024-09-08 10:02:50,25.18,-1.45
2024-09-08 10:02:51,25.15,-1.33
2024-09-08 10:02:52,25.18,-1.36
2024-09-08 10:02:53,25.18,-1.42
2024-09-08 10:02:54,25.18,-1.51
2024-09-08 10:02:55,25.19,-1.51
2024-09-08 10:02:56,25.18,-1.45
2024-09-08 10:02:57,25.18,-1.39
2024-09-08 10:02:58,25.2,-1.42
2024-09-08 10:02:59,25.2,-1.48
2024-09-08 10:03:00,25.21,-1.51
2024-09-08 10:03:01,25.18,-1.6
2024-09-08 10:03:02,25.19,-1.57
2024-09-08 10:03:03,25.18,-1.54
2024-09-08 10:03:04,25.18,-1.48
2024-09-08 10:03:05,25.19,-1.45
2024-09-08 10:03:06,25.17,-1.57
2024-09-08 10:03:07,25.18,-1.63
2024-09-08 10:03:08,25.18,-1.6
2024-09-08 10:03:09,25.2,-1.6
2024-09-08 10:03:10,25.18,-1.57
2024-09-08 10:03:11,25.2,-1.63
2024-09-08 10:03:12,25.19,-1.69
2024-09-08 10:03:13,25.2,-1.82
2024-09-08 10:03:14,25.19,-1.82
2024-09-08 10:03:15,25.17,-1.78
2024-09-08 10:03:16,25.19,-1.91
2024-09-08 10:03:17,25.2,-1.94
2024-09-08 10:03:18,25.18,-1.91
2024-09-08 10:03:19,25.19,-1.94
2024-09-08 10:03:20,25.18,-2.0
2024-09-08 10:03:21,25.17,-1.97
2024-09-08 10:03:22,25.18,-1.97
2024-09-08 10:03:23,25.18,-2.0
2024-09-08 10:03:24,25.18,-2.12
2024-09-08 10:03:25,25.19,-2.09
